Label	logFC	FDR
 CKAP2 	2.03267771	1.25E-22
 NDC80 	1.86960876	2.10E-20
 KIF23 	1.96830829	4.78E-20
 PBK 	2.37733367	3.47E-19
 CST1 	3.76589087	3.47E-19
 PRR11 	1.93838551	1.80E-18
 CST2 	2.35945564	6.31E-18
 CHEK1 	1.83436129	6.31E-18
 NUF2 	1.94702618	8.17E-18
 FAM72D 	1.70591031	8.96E-18
 ECT2 	2.00122024	8.96E-18
 WDHD1 	1.69694178	3.62E-17
 TOP2A 	2.51302798	1.05E-16
 CENPF 	1.8534672	1.10E-16
 DLGAP5 	2.0836588	1.64E-16
 PRC1 	1.92391518	2.27E-16
 TYMS 	1.79353573	2.92E-16
 KIF4A 	1.78540622	2.92E-16
 TRIP13 	1.77631622	2.92E-16
 CCNB1 	2.12909722	2.92E-16
 CCNB2 	2.13667856	2.92E-16
 NUSAP1 	1.84665016	3.11E-16
 TPX2 	2.18342736	3.87E-16
 HELLS 	1.59012378	4.42E-16
 CEP55 	1.8374888	4.87E-16
 SKA3 	1.66943287	4.87E-16
 KIF20A 	1.60363267	5.14E-16
 CLDN1 	2.52227847	5.31E-16
 CDC6 	2.41892331	5.47E-16
 ANLN 	1.93415702	6.69E-16
 BUB1B 	1.56416404	8.37E-16
 LACTB2 	1.59448831	1.25E-15
 FANCI 	1.74016231	1.27E-15
 COL1A1 	2.31061371	1.54E-15
 PKM2 	1.41719644	1.71E-15
 NCAPG 	1.65931747	2.32E-15
 STIL 	1.70093798	2.55E-15
 CDKN3 	1.93281558	3.18E-15
 ATAD2 	1.54635991	3.73E-15
 SHCBP1 	1.65043756	3.88E-15
 THY1 	2.1910846	5.13E-15
 RFC3 	1.62191489	9.98E-15
 RAD51AP1 	1.86930771	1.24E-14
 KIF11 	1.75265276	1.43E-14
 FAP 	2.49934513	1.50E-14
 MFAP2 	1.73656373	2.22E-14
 FEN1 	1.21182338	2.79E-14
 DSCC1 	1.49192002	2.94E-14
 BUB1 	1.68079344	2.98E-14
 PLK1 	1.60385402	4.44E-14
 PRKDC 	1.39968978	4.91E-14
 RTKN2 	1.50271182	5.94E-14
 DTL 	1.62280984	5.94E-14
 CASC5 	1.53133196	6.36E-14
 KIAA1524 	1.50993182	6.91E-14
 MKI67 	1.70044573	1.04E-13
 MYB 	1.96047878	1.04E-13
 GJB2 	1.46223316	1.07E-13
 CDCA2 	1.28547338	1.07E-13
 BRIP1 	1.56296451	1.38E-13
 PDSS1 	1.56824549	1.51E-13
 COL1A2 	1.92167222	1.63E-13
 SULF1 	2.0644818	1.68E-13
 DEPDC1 	1.74845126	1.73E-13
 ARHGAP11A 	2.01181664	1.88E-13
 CDK1 	1.90918216	1.96E-13
 ANXA2P2 	1.35977096	2.01E-13
 GINS1 	1.53183442	2.01E-13
 CLDN7 	2.68560791	2.40E-13
 GGH 	2.0740474	2.60E-13
 THBS2 	1.86908987	4.46E-13
 KIF14 	1.34132676	4.98E-13
 SFRP4 	2.83125087	5.07E-13
 PLA2G7 	1.88128242	5.60E-13
 SLC43A3 	1.21065102	5.93E-13
 PLAU 	1.4934936	8.34E-13
 AQP4 	-2.4950138	8.34E-13
 NME1 	1.48908416	8.34E-13
 DEPDC1B 	1.40847491	8.34E-13
 EXO1 	1.47631529	9.36E-13
 CHRNA5 	1.82578029	9.36E-13
 ASPM 	1.37860958	9.81E-13
 CKS2 	2.10474949	1.04E-12
 ITGA2 	1.71812322	1.09E-12
 KIF2C 	1.49497791	1.17E-12
 MMP14 	1.31970031	1.26E-12
 MYO1B 	1.4578444	1.28E-12
 BRCA2 	1.29746996	1.32E-12
 DKC1 	1.26633149	1.62E-12
 KNTC1 	1.41072993	1.62E-12
 COL3A1 	1.96112416	1.67E-12
 LAPTM4B 	1.32367136	1.79E-12
 ZWILCH 	1.50501691	1.90E-12
 CLDN4 	2.42114191	1.96E-12
 CDC45 	1.26530949	2.00E-12
 BGN 	1.74640802	2.16E-12
 SGPL1 	1.15633024	2.18E-12
 TIMP1 	1.97012771	2.37E-12
 CTSB 	1.48415762	2.70E-12
 POLD3 	1.3149612	2.80E-12
 FOXM1 	1.40464922	2.94E-12
 TTK 	1.49540967	3.08E-12
 TMEM48 	1.30477533	3.10E-12
 FAR2 	1.74753109	3.10E-12
 UBE2T 	1.48263431	3.14E-12
 KIAA1199 	1.89037682	3.43E-12
 PMEPA1 	1.38726833	3.43E-12
 PON2 	1.28474527	3.43E-12
 ENO1 	1.48924707	3.65E-12
 LDHA 	1.105592	3.68E-12
 COL5A2 	1.4611342	3.87E-12
 SPC25 	1.44731489	4.14E-12
 CENPK 	1.5328296	4.15E-12
 MELK 	1.57536147	4.15E-12
 COL12A1 	1.78482296	4.43E-12
